Continent,Countries,Latitude,Longitude
Asia,Sri Lanka,6.932,79.8578
Africa,Sudan,15.5881,32.5342
South America,Suriname,5.835,-55.167
Africa,Swaziland,-26.3167,31.1333
Europe,Sweden,59.3508,18.0973
Europe,Switzerland,46.21,6.14
Asia,Syrian Arab Republic,36.23,37.17
Asia,Tajikistan,38.56,68.7739
Asia,Thailand,13.75,100.5166
Europe,The former Yugoslav republic of Macedonia,42,21.4335
Asia,Timor-Leste,-8.5594,125.5795
Africa,Togo,6.1319,1.2228
Oceania,Tonga,-21.1385,-175.2206
North America,Trinidad and Tobago,10.652,-61.517
Africa,Tunisia,36.8028,10.1797
Europe,Turkey,41.105,29.01
Asia,Turkmenistan,37.95,58.3833
Oceania,Tuvalu,-8.5167,179.2166
Africa,Uganda,0.3167,32.5833
Europe,Ukraine,50.4334,30.5166
Asia,United Arab Emirates,25.23,55.28
Europe,United Kingdom of Great Britain and Northern Ireland,51.5,-0.1167
Africa,United Republic of Tanzania,-6.8,39.2683
North America,United States of America,40.6943,-73.9249
South America,Uruguay,-34.858,-56.1711
Asia,Uzbekistan,41.3117,69.2949
Oceania,Vanuatu,-17.7334,168.3166
South America,Venezuela (Bolivarian Republic of),10.501,-66.917
Asia,Viet Nam,10.78,106.695
Asia,Yemen,15.3547,44.2066
Africa,Zambia,-15.4166,28.2833
Africa,Zimbabwe,-17.8178,31.0447
